  t   J_i   l_i   J_f   l_f   Lam  n1   lj1  n2  lj2   TD   TD/sqrt(2j_1+1)
  1     4     1     2     1  2     1     5     1     5    -1.53463534    -0.62651225
  1     4     1     2     1  2     1     8     1     8    -0.16474737    -0.05209769
  0     4     1     2     2  2     2     1     2     2    -0.01714830    -0.01212568
  0     4     1     2     2  2     2     1     1     5     0.17971508     0.12707775
  0     4     1     2     2  2     2     2     2     1     0.06542819     0.03271409
  0     4     1     2     2  2     2     2     2     2     0.07482487     0.03741243
  0     4     1     2     2  2     2     2     1     5     0.05578096     0.02789048
  0     4     1     2     2  2     1     5     2     1     0.25423453     0.10379081
  0     4     1     2     2  2     1     5     2     2    -0.05332467    -0.02176971
  0     4     1     2     2  2     1     5     1     5    -0.17783675    -0.07260155
  0     4     1     2     2  2     1     8     1     8    -0.10612071    -0.03355831
  0     4     1     2     2  2     1     8     1     5    -0.00009495    -0.00003002
  1     4     1     2     2  2     2     1     2     2     0.09500849     0.06718115
  1     4     1     2     2  2     2     1     1     5    -0.23528273    -0.16637002
  1     4     1     2     2  2     2     2     2     1    -0.15107288    -0.07553644
  1     4     1     2     2  2     2     2     2     2    -0.08035305    -0.04017652
  1     4     1     2     2  2     2     2     1     5     0.09007037     0.04503518
  1     4     1     2     2  2     1     5     1     8    -0.00006590    -0.00002690
  1     4     1     2     2  2     1     5     2     1    -0.29431772    -0.12015471
  1     4     1     2     2  2     1     5     2     2    -0.03171689    -0.01294837
  1     4     1     2     2  2     1     5     1     5     0.17461360     0.07128570
  1     4     1     2     2  2     1     8     1     8     0.12019845     0.03801009
  0     4     1     4     1  0     2     1     2     1     3.01992175     2.13540715
  0     4     1     4     1  0     2     2     2     2     5.65427065     2.82713532
  0     4     1     4     1  0     1     5     1     5     6.12117097     2.49895758
  0     4     1     4     1  0     1     8     1     8     5.51027147     1.74250084
  1     4     1     4     1  0     2     1     2     1     0.80364312     0.56826150
  1     4     1     4     1  0     2     2     2     2     2.04844138     1.02422069
  1     4     1     4     1  0     1     5     1     5     2.47282030     1.00952466
  1     4     1     4     1  0     1     8     1     8     0.22463093     0.07103454
  0     4     1     4     1  2     2     1     2     2     0.05833468     0.04124885
  0     4     1     4     1  2     2     1     1     5    -0.33167722    -0.23453121
  0     4     1     4     1  2     2     2     2     1    -0.05833468    -0.02916734
  0     4     1     4     1  2     2     2     2     2    -0.15131182    -0.07565591
  0     4     1     4     1  2     2     2     1     5    -0.12993456    -0.06496728
  0     4     1     4     1  2     1     5     2     1    -0.33167722    -0.13540666
  0     4     1     4     1  2     1     5     2     2     0.12993456     0.05304556
  0     4     1     4     1  2     1     5     1     5     0.10536267     0.04301413
  0     4     1     4     1  2     1     8     1     8     0.43436055     0.13735687
  0     4     1     4     1  2     1     8     1     5    -0.00006447    -0.00002039
  1     4     1     4     1  2     2     1     2     2    -0.44024994    -0.31130372
  1     4     1     4     1  2     2     1     1     5     0.47600901     0.33658920
  1     4     1     4     1  2     2     2     2     1     0.44024994     0.22012497
  1     4     1     4     1  2     2     2     2     2     0.23477079     0.11738540
  1     4     1     4     1  2     2     2     1     5    -0.04823712    -0.02411856
  1     4     1     4     1  2     1     5     1     8    -0.00006447    -0.00002632
  1     4     1     4     1  2     1     5     2     1     0.47600901     0.19432987
  1     4     1     4     1  2     1     5     2     2     0.04823712     0.01969272
  1     4     1     4     1  2     1     5     1     5    -0.09407757    -0.03840701
  1     4     1     4     1  2     1     8     1     8    -0.09941390    -0.03143744
  0     4     1     4     2  0     2     1     2     1    -0.02379964    -0.01682889
  0     4     1     4     2  0     2     2     2     2    -0.00855216    -0.00427608
  0     4     1     4     2  0     1     5     1     5     0.21752203     0.08880299
  0     4     1     4     2  0     1     8     1     8    -0.15202752    -0.04807532
  1     4     1     4     2  0     2     1     2     1    -0.14088641    -0.09962173
  1     4     1     4     2  0     2     2     2     2    -0.10302635    -0.05151318
  1     4     1     4     2  0     1     5     1     5     0.00070595     0.00028820
  1     4     1     4     2  0     1     8     1     8     0.12765367     0.04036763
  0     4     1     4     2  2     2     1     2     2     0.36933838     0.26116167
  0     4     1     4     2  2     2     1     1     5    -0.42626053    -0.30141171
  0     4     1     4     2  2     2     2     2     1    -0.23025136    -0.11512568
  0     4     1     4     2  2     2     2     2     2    -0.09119736    -0.04559868
  0     4     1     4     2  2     2     2     1     5    -0.09923631    -0.04961816
  0     4     1     4     2  2     1     5     2     1    -0.50632728    -0.20670725
  0     4     1     4     2  2     1     5     2     2     0.10830111     0.04421374
  0     4     1     4     2  2     1     5     1     5    -0.71263099    -0.29093038
  0     4     1     4     2  2     1     8     1     8    -1.84159602    -0.58236380
  0     4     1     4     2  2     1     8     1     5    -0.00002070    -0.00000655
  0     4     1     4     2  2     1     8     1     8     0.00001475     0.00000466
  1     4     1     4     2  2     2     1     2     2     0.50888678     0.35983729
  1     4     1     4     2  2     2     1     1     5    -0.65261879    -0.46147117
  1     4     1     4     2  2     2     2     2     1    -0.36409498    -0.18204749
  1     4     1     4     2  2     2     2     2     2    -0.73274684    -0.36637342
  1     4     1     4     2  2     2     2     1     5    -0.20814902    -0.10407451
  1     4     1     4     2  2     1     5     2     1     0.00001030     0.00000420
  1     4     1     4     2  2     1     5     1     8     0.00021095     0.00008612
  1     4     1     4     2  2     1     5     2     1    -0.31526606    -0.12870683
  1     4     1     4     2  2     1     5     2     2     0.24401396     0.09961828
  1     4     1     4     2  2     1     5     1     5    -1.22016798    -0.49813149
  1     4     1     4     2  2     1     8     1     8     0.00001365     0.00000432
  1     4     1     4     2  2     1     8     1     8    -0.17492918    -0.05531746
  0     4     1     6     1  2     2     1     2     2     0.65960808     0.46641334
  0     4     1     6     1  2     2     1     1     5    -0.88910940    -0.62869529
  0     4     1     6     1  2     2     1     2     2    -0.00001180    -0.00000835
  0     4     1     6     1  2     2     2     2     1    -0.23684153    -0.11842076
  0     4     1     6     1  2     2     2     2     2    -0.09584468    -0.04792234
  0     4     1     6     1  2     2     2     1     5    -0.02954871    -0.01477436
  0     4     1     6     1  2     1     5     2     1    -0.41626344    -0.16993884
  0     4     1     6     1  2     1     5     2     2     0.13888559     0.05669981
  0     4     1     6     1  2     1     5     1     5    -0.96766999    -0.39504962
  0     4     1     6     1  2     1     8     1     8    -2.83564018    -0.89670816
  0     4     1     6     1  2     1     8     1     5    -0.00014732    -0.00004659
  0     4     1     6     1  2     1     8     1     8    -0.00001824    -0.00000577
  1     4     1     6     1  2     2     1     2     2     0.63818766     0.45126682
  1     4     1     6     1  2     2     1     1     5    -0.56913555    -0.40243961
  1     4     1     6     1  2     2     2     2     1     0.00001896     0.00000948
  1     4     1     6     1  2     2     2     2     1    -0.56544873    -0.28272436
  1     4     1     6     1  2     2     2     2     2    -1.25741067    -0.62870533
  1     4     1     6     1  2     2     2     1     5    -0.47424566    -0.23712283
  1     4     1     6     1  2     1     5     2     1    -0.00001584    -0.00000647
  1     4     1     6     1  2     1     5     1     8    -0.00011661    -0.00004761
  1     4     1     6     1  2     1     5     2     1    -0.75930681    -0.30998571
  1     4     1     6     1  2     1     5     2     2     0.37847200     0.15451055
  1     4     1     6     1  2     1     5     1     5    -1.92703274    -0.78670782
  1     4     1     6     1  2     1     8     1     8    -0.00001469    -0.00000464
  1     4     1     6     1  2     1     8     1     8    -0.21804780    -0.06895277
  0     4     1     6     2  2     2     1     2     2    -0.14793562    -0.10460628
  0     4     1     6     2  2     2     1     1     5     0.46517015     0.32892496
  0     4     1     6     2  2     2     2     2     1     0.01512675     0.00756337
  0     4     1     6     2  2     2     2     2     2     0.09377666     0.04688833
  0     4     1     6     2  2     2     2     1     5     0.06520766     0.03260383
  0     4     1     6     2  2     1     5     2     1     0.25892585     0.10570604
  0     4     1     6     2  2     1     5     2     2    -0.10590566    -0.04323581
  0     4     1     6     2  2     1     5     1     5    -0.22278388    -0.09095114
  0     4     1     6     2  2     1     8     1     8    -0.00008159    -0.00002580
  0     4     1     6     2  2     1     8     1     5     0.00023948     0.00007573
  1     4     1     6     2  2     2     1     2     2     0.20608288     0.14572260
  1     4     1     6     2  2     2     1     1     5    -0.40889524    -0.28913260
  1     4     1     6     2  2     2     2     2     1     0.04680988     0.02340494
  1     4     1     6     2  2     2     2     2     2    -0.09048565    -0.04524282
  1     4     1     6     2  2     2     2     1     5     0.03587457     0.01793728
  1     4     1     6     2  2     1     5     1     8     0.00003270     0.00001335
  1     4     1     6     2  2     1     5     2     1    -0.07756505    -0.03166580
  1     4     1     6     2  2     1     5     2     2    -0.10582167    -0.04320151
  1     4     1     6     2  2     1     5     1     5     0.24470415     0.09990005
  1     4     1     6     2  2     1     8     1     8     0.00001366     0.00000432
  1     4     1     6     2  2     1     8     1     8     0.19598130     0.06197473
  0     4     2     2     1  2     2     1     2     2    -0.00041972    -0.00029679
  0     4     2     2     1  2     2     1     1     5    -0.22309163    -0.15774960
  0     4     2     2     1  2     2     2     2     1    -0.08476384    -0.04238192
  0     4     2     2     1  2     2     2     2     2    -0.07320031    -0.03660016
  0     4     2     2     1  2     2     2     1     5    -0.07634784    -0.03817392
  0     4     2     2     1  2     1     5     2     1    -0.33559280    -0.13700519
  0     4     2     2     1  2     1     5     2     2     0.04356468     0.01778520
  0     4     2     2     1  2     1     5     1     5     0.17288188     0.07057873
  0     4     2     2     1  2     1     8     1     8    -0.04484973    -0.01418273
  0     4     2     2     1  2     1     8     1     5     0.00001060     0.00000335
  1     4     2     2     1  2     2     1     2     2    -0.07929352    -0.05606899
  1     4     2     2     1  2     2     1     1     5     0.12899182     0.09121099
  1     4     2     2     1  2     2     2     2     1     0.24452885     0.12226442
  1     4     2     2     1  2     2     2     2     2     0.18776765     0.09388382
  1     4     2     2     1  2     2     2     1     5    -0.04311620    -0.02155810
  1     4     2     2     1  2     1     5     1     8    -0.00013250    -0.00005409
  1     4     2     2     1  2     1     5     2     1     0.37509630     0.15313242
  1     4     2     2     1  2     1     5     2     2     0.00876979     0.00358025
  1     4     2     2     1  2     1     5     1     5    -0.24801411    -0.10125134
  1     4     2     2     1  2     1     8     1     8    -0.14048140    -0.04442412
  0     4     2     2     2  2     2     1     2     2    -0.19146274    -0.13538460
  0     4     2     2     2  2     2     1     1     5     0.34741092     0.24565662
  0     4     2     2     2  2     2     2     2     1     0.42465217     0.21232609
  0     4     2     2     2  2     2     2     2     2     0.07472116     0.03736058
  0     4     2     2     2  2     2     2     1     5     0.09770440     0.04885220
  0     4     2     2     2  2     1     5     2     1     0.56264407     0.22969848
  0     4     2     2     2  2     1     5     2     2    -0.04682320    -0.01911549
  0     4     2     2     2  2     1     5     1     5     0.67403324     0.27517292
  0     4     2     2     2  2     1     8     1     8     1.91043212     0.60413168
  0     4     2     2     2  2     1     8     1     5    -0.00009794    -0.00003097
  1     4     2     2     2  2     2     1     2     2    -0.31029481    -0.21941157
  1     4     2     2     2  2     2     1     1     5     0.41732806     0.29509550
  1     4     2     2     2  2     2     2     2     1    -0.00001420    -0.00000710
  1     4     2     2     2  2     2     2     2     1     0.47025468     0.23512734
  1     4     2     2     2  2     2     2     2     2     0.78136043     0.39068021
  1     4     2     2     2  2     2     2     1     5     0.24258747     0.12129374
  1     4     2     2     2  2     1     5     1     8     0.00005440     0.00002221
  1     4     2     2     2  2     1     5     2     1     0.44392799     0.18123284
  1     4     2     2     2  2     1     5     2     2    -0.26702347    -0.10901188
  1     4     2     2     2  2     1     5     1     5     1.33212906     0.54383941
  1     4     2     2     2  2     1     8     1     8     0.00002246     0.00000710
  1     4     2     2     2  2     1     8     1     8     0.21178618     0.06697267
  0     4     2     4     1  0     2     1     2     1    -0.02379964    -0.01682889
  0     4     2     4     1  0     2     2     2     2    -0.00855216    -0.00427608
  0     4     2     4     1  0     1     5     1     5     0.21752203     0.08880299
  0     4     2     4     1  0     1     8     1     8    -0.15202752    -0.04807532
  1     4     2     4     1  0     2     1     2     1    -0.14088641    -0.09962173
  1     4     2     4     1  0     2     2     2     2    -0.10302635    -0.05151318
  1     4     2     4     1  0     1     5     1     5     0.00070595     0.00028820
  1     4     2     4     1  0     1     8     1     8     0.12765367     0.04036763
  0     4     2     4     1  2     2     1     2     2     0.23025136     0.16281229
  0     4     2     4     1  2     2     1     1     5    -0.50632728    -0.35802745
  0     4     2     4     1  2     2     1     1     5     0.00001030     0.00000728
  0     4     2     4     1  2     2     2     2     1    -0.36933838    -0.18466919
  0     4     2     4     1  2     2     2     2     2    -0.09119736    -0.04559868
  0     4     2     4     1  2     2     2     1     5    -0.10830111    -0.05415056
  0     4     2     4     1  2     1     5     2     1    -0.42626053    -0.17402013
  0     4     2     4     1  2     1     5     2     2     0.09923631     0.04051305
  0     4     2     4     1  2     1     5     1     5    -0.71263099    -0.29093038
  0     4     2     4     1  2     1     8     1     8    -1.84159602    -0.58236380
  0     4     2     4     1  2     1     8     1     5     0.00021095     0.00006671
  0     4     2     4     1  2     1     8     1     8     0.00001365     0.00000432
  1     4     2     4     1  2     2     1     2     2     0.36409498     0.25745403
  1     4     2     4     1  2     2     1     1     5    -0.31526606    -0.22292677
  1     4     2     4     1  2     2     2     2     1    -0.50888678    -0.25444339
  1     4     2     4     1  2     2     2     2     2    -0.73274684    -0.36637342
  1     4     2     4     1  2     2     2     1     5    -0.24401396    -0.12200698
  1     4     2     4     1  2     1     5     1     8    -0.00002070    -0.00000845
  1     4     2     4     1  2     1     5     2     1    -0.65261879    -0.26643051
  1     4     2     4     1  2     1     5     2     2     0.20814902     0.08497648
  1     4     2     4     1  2     1     5     1     5    -1.22016798    -0.49813149
  1     4     2     4     1  2     1     8     1     8     0.00001475     0.00000466
  1     4     2     4     1  2     1     8     1     8    -0.17492918    -0.05531746
  0     4     2     4     2  0     2     1     2     1     3.00349458     2.12379138
  0     4     2     4     2  0     2     2     2     2     5.63005722     2.81502861
  0     4     2     4     2  0     1     5     1     5     6.08458933     2.48402319
  0     4     2     4     2  0     1     8     1     8     5.56079902     1.75847905
  1     4     2     4     2  0     2     1     2     1     0.91898568     0.64982100
  1     4     2     4     2  0     2     2     2     2     1.97350895     0.98675447
  1     4     2     4     2  0     1     5     1     5     2.39567505     0.97803024
  1     4     2     4     2  0     1     8     1     8     0.28016741     0.08859671
  0     4     2     4     2  2     2     1     2     2     0.01433120     0.01013369
  0     4     2     4     2  2     2     1     1     5    -0.11970717    -0.08464575
  0     4     2     4     2  2     2     1     1     5     0.00001299     0.00000919
  0     4     2     4     2  2     2     2     2     1    -0.01433120    -0.00716560
  0     4     2     4     2  2     2     2     2     2    -0.08780521    -0.04390260
  0     4     2     4     2  2     2     2     1     5    -0.07265174    -0.03632587
  0     4     2     4     2  2     2     2     1     5    -0.00001217    -0.00000608
  0     4     2     4     2  2     1     5     2     1    -0.11970717    -0.04887025
  0     4     2     4     2  2     1     5     2     2     0.07265174     0.02965995
  0     4     2     4     2  2     1     5     1     5     0.08624943     0.03521118
  0     4     2     4     2  2     1     8     1     8    -0.19635561    -0.06209310
  0     4     2     4     2  2     1     8     1     5     0.00054409     0.00017206
  0     4     2     4     2  2     1     8     1     8     0.00002182     0.00000690
  1     4     2     4     2  2     2     1     2     2    -0.02630553    -0.01860082
  1     4     2     4     2  2     2     1     1     5     0.08801090     0.06223311
  1     4     2     4     2  2     2     2     2     1     0.02630553     0.01315277
  1     4     2     4     2  2     2     2     2     2     0.04777997     0.02388999
  1     4     2     4     2  2     2     2     1     5    -0.01833217    -0.00916608
  1     4     2     4     2  2     1     5     2     1     0.00001299     0.00000530
  1     4     2     4     2  2     1     5     2     2     0.00001217     0.00000497
  1     4     2     4     2  2     1     5     1     8     0.00054409     0.00022212
  1     4     2     4     2  2     1     5     2     1     0.08801090     0.03593030
  1     4     2     4     2  2     1     5     2     2     0.01833217     0.00748408
  1     4     2     4     2  2     1     5     1     5    -0.09102998    -0.03716283
  1     4     2     4     2  2     1     5     1     8    -0.00001366    -0.00000558
  1     4     2     4     2  2     1     8     1     8     0.00002182     0.00000690
  1     4     2     4     2  2     1     8     1     5    -0.00001366    -0.00000432
  1     4     2     4     2  2     1     8     1     8    -0.15847949    -0.05011562
  0     4     2     6     1  2     2     1     2     2     0.07194909     0.05087569
  0     4     2     6     1  2     2     1     1     5    -0.24816681    -0.17548044
  0     4     2     6     1  2     2     1     2     2    -0.00001298    -0.00000918
  0     4     2     6     1  2     2     2     2     1     0.07029826     0.03514913
  0     4     2     6     1  2     2     2     2     2    -0.08260923    -0.04130461
  0     4     2     6     1  2     2     2     1     5    -0.02787364    -0.01393682
  0     4     2     6     1  2     2     2     1     5     0.00001365     0.00000683
  0     4     2     6     1  2     1     5     2     1    -0.11401872    -0.04654795
  0     4     2     6     1  2     1     5     2     2     0.06357125     0.02595285
  0     4     2     6     1  2     1     5     1     5     0.28789968     0.11753455
  0     4     2     6     1  2     1     5     1     8    -0.00001061    -0.00000433
  0     4     2     6     1  2     1     8     1     8     0.05692857     0.01800239
  0     4     2     6     1  2     1     8     1     5    -0.00017577    -0.00005558
  0     4     2     6     1  2     1     8     1     8    -0.00003887    -0.00001229
  1     4     2     6     1  2     2     1     2     2    -0.00001185    -0.00000838
  1     4     2     6     1  2     2     1     2     2    -0.28974449    -0.20488029
  1     4     2     6     1  2     2     1     1     5     0.40449008     0.28601768
  1     4     2     6     1  2     2     2     2     1     0.21036568     0.10518284
  1     4     2     6     1  2     2     2     2     2     0.30418662     0.15209331
  1     4     2     6     1  2     2     2     1     5     0.08498544     0.04249272
  1     4     2     6     1  2     1     5     2     1    -0.00001839    -0.00000751
  1     4     2     6     1  2     1     5     1     8    -0.00003843    -0.00001569
  1     4     2     6     1  2     1     5     2     1     0.22724806     0.09277363
  1     4     2     6     1  2     1     5     2     2     0.06341496     0.02588905
  1     4     2     6     1  2     1     5     1     5    -0.54667210    -0.22317795
  1     4     2     6     1  2     1     8     1     8     0.00001132     0.00000358
  1     4     2     6     1  2     1     8     1     8    -0.16362404    -0.05174246
  0     4     2     6     2  2     2     1     2     2    -0.68076746    -0.48137529
  0     4     2     6     2  2     2     1     1     5     0.84109389     0.59474320
  0     4     2     6     2  2     2     1     1     5     0.00001477     0.00001045
  0     4     2     6     2  2     2     2     2     1     0.26011559     0.13005779
  0     4     2     6     2  2     2     2     2     2     0.12517411     0.06258705
  0     4     2     6     2  2     2     2     1     5     0.08804588     0.04402294
  0     4     2     6     2  2     1     5     2     1     0.44106794     0.18006523
  0     4     2     6     2  2     1     5     2     2    -0.17893857    -0.07305137
  0     4     2     6     2  2     1     5     1     5     0.90250973     0.36844806
  0     4     2     6     2  2     1     8     1     8     2.09387008     0.66213986
  0     4     2     6     2  2     1     8     1     5     0.00028774     0.00009099
  0     4     2     6     2  2     1     8     1     8     0.00001702     0.00000538
  1     4     2     6     2  2     2     1     2     2    -0.58744812    -0.41538855
  1     4     2     6     2  2     2     1     1     5     0.50024367     0.35372569
  1     4     2     6     2  2     2     2     2     1     0.00003768     0.00001884
  1     4     2     6     2  2     2     2     2     2     0.00002092     0.00001046
  1     4     2     6     2  2     2     2     1     5    -0.00002642    -0.00001321
  1     4     2     6     2  2     2     2     2     1     0.45202458     0.22601229
  1     4     2     6     2  2     2     2     2     2     1.09962644     0.54981322
  1     4     2     6     2  2     2     2     1     5     0.43187600     0.21593800
  1     4     2     6     2  2     1     5     1     8    -0.00016528    -0.00006748
  1     4     2     6     2  2     1     5     2     1     0.54317493     0.22175024
  1     4     2     6     2  2     1     5     2     2    -0.35267804    -0.14398021
  1     4     2     6     2  2     1     5     1     5     1.35492831     0.55314717
  1     4     2     6     2  2     1     8     1     8    -0.00002746    -0.00000868
  1     4     2     6     2  2     1     8     1     8     0.28893920     0.09137060
  0     6     1     4     1  2     2     1     2     2     0.23684153     0.16747225
  0     6     1     4     1  2     2     1     1     5    -0.41626344    -0.29434270
  0     6     1     4     1  2     2     1     2     2    -0.00001896    -0.00001341
  0     6     1     4     1  2     2     1     1     5    -0.00001584    -0.00001120
  0     6     1     4     1  2     2     2     2     1    -0.65960808    -0.32980404
  0     6     1     4     1  2     2     2     2     2    -0.09584468    -0.04792234
  0     6     1     4     1  2     2     2     1     5    -0.13888559    -0.06944280
  0     6     1     4     1  2     1     5     2     1    -0.88910983    -0.36297757
  0     6     1     4     1  2     1     5     2     2     0.02954871     0.01206321
  0     6     1     4     1  2     1     5     1     5    -0.96766999    -0.39504962
  0     6     1     4     1  2     1     8     1     8    -2.83564099    -0.89670842
  0     6     1     4     1  2     1     8     1     5    -0.00011661    -0.00003688
  0     6     1     4     1  2     1     8     1     8    -0.00001469    -0.00000464
  1     6     1     4     1  2     2     1     2     2     0.56544873     0.39983263
  1     6     1     4     1  2     2     1     1     5    -0.75930681    -0.53691100
  1     6     1     4     1  2     2     2     2     1     0.00001180     0.00000590
  1     6     1     4     1  2     2     2     2     1    -0.63818766    -0.31909383
  1     6     1     4     1  2     2     2     2     2    -1.25741065    -0.62870533
  1     6     1     4     1  2     2     2     1     5    -0.37847200    -0.18923600
  1     6     1     4     1  2     1     5     1     8    -0.00014732    -0.00006014
  1     6     1     4     1  2     1     5     2     1    -0.56913555    -0.23234862
  1     6     1     4     1  2     1     5     2     2     0.47424566     0.19360998
  1     6     1     4     1  2     1     5     1     5    -1.92703274    -0.78670782
  1     6     1     4     1  2     1     8     1     8    -0.00001824    -0.00000577
  1     6     1     4     1  2     1     8     1     8    -0.21804780    -0.06895277
  0     6     1     4     2  2     2     1     2     2    -0.07029826    -0.04970838
  0     6     1     4     2  2     2     1     1     5    -0.11401872    -0.08062341
  0     6     1     4     2  2     2     1     1     5    -0.00001839    -0.00001300
  0     6     1     4     2  2     2     2     2     1    -0.07194909    -0.03597455
  0     6     1     4     2  2     2     2     2     2    -0.08260923    -0.04130461
  0     6     1     4     2  2     2     2     1     5    -0.06357125    -0.03178563
  0     6     1     4     2  2     2     2     2     1     0.00001185     0.00000592
  0     6     1     4     2  2     1     5     2     1    -0.24816614    -0.10131340
  0     6     1     4     2  2     1     5     2     2     0.02787364     0.01137936
  0     6     1     4     2  2     1     5     1     5     0.28789968     0.11753455
  0     6     1     4     2  2     1     8     1     5    -0.00001061    -0.00000336
  0     6     1     4     2  2     1     8     1     8     0.05693060     0.01800304
  0     6     1     4     2  2     1     8     1     5    -0.00003843    -0.00001215
  0     6     1     4     2  2     1     8     1     8     0.00001132     0.00000358
  1     6     1     4     2  2     2     1     2     2    -0.21036568    -0.14875100
  1     6     1     4     2  2     2     1     1     5     0.22724806     0.16068865
  1     6     1     4     2  2     2     2     2     1     0.00001298     0.00000649
  1     6     1     4     2  2     2     2     2     1     0.28974449     0.14487225
  1     6     1     4     2  2     2     2     2     2     0.30418668     0.15209334
  1     6     1     4     2  2     2     2     1     5    -0.06341496    -0.03170748
  1     6     1     4     2  2     1     5     2     2    -0.00001365    -0.00000557
  1     6     1     4     2  2     1     5     1     8    -0.00017577    -0.00007176
  1     6     1     4     2  2     1     5     2     1     0.40449008     0.16513238
  1     6     1     4     2  2     1     5     2     2    -0.08498544    -0.03469516
  1     6     1     4     2  2     1     5     1     5    -0.54667210    -0.22317795
  1     6     1     4     2  2     1     8     1     8    -0.00003887    -0.00001229
  1     6     1     4     2  2     1     8     1     8    -0.16362404    -0.05174246
  0     6     1     6     1  0     2     1     2     1     3.69251688     2.61100372
  0     6     1     6     1  0     2     2     2     2     6.76036734     3.38018367
  0     6     1     6     1  0     1     5     1     5     7.24833271     2.95911944
  0     6     1     6     1  0     1     8     1     8     6.70068258     2.11894188
  1     6     1     6     1  0     2     1     2     1     0.97835894     0.69180424
  1     6     1     6     1  0     2     2     2     2     2.46108314     1.23054157
  1     6     1     6     1  0     1     5     1     5     2.96352664     1.20985469
  1     6     1     6     1  0     1     8     1     8     0.27151600     0.08586090
  0     6     1     6     1  2     2     1     2     2     0.04507718     0.03187438
  0     6     1     6     1  2     2     1     1     5    -0.36594142    -0.25875966
  0     6     1     6     1  2     2     1     2     2     0.00001548     0.00001095
  0     6     1     6     1  2     2     1     1     5     0.00003188     0.00002255
  0     6     1     6     1  2     2     2     2     1    -0.04507718    -0.02253859
  0     6     1     6     1  2     2     2     2     2    -0.22772226    -0.11386113
  0     6     1     6     1  2     2     2     1     5    -0.20057004    -0.10028502
  0     6     1     6     1  2     2     2     1     5    -0.00002941    -0.00001471
  0     6     1     6     1  2     1     5     2     1    -0.36594142    -0.14939496
  0     6     1     6     1  2     1     5     2     2     0.20057004     0.08188238
  0     6     1     6     1  2     1     5     1     5     0.07393200     0.03018261
  0     6     1     6     1  2     1     5     2     2    -0.00001082    -0.00000442
  0     6     1     6     1  2     1     5     1     5    -0.00001130    -0.00000461
  0     6     1     6     1  2     1     8     1     8     0.45981430     0.14540605
  0     6     1     6     1  2     1     8     1     5     0.00023400     0.00007400
  0     6     1     6     1  2     1     8     1     8     0.00006485     0.00002051
  1     6     1     6     1  2     2     1     2     2    -0.70392389    -0.49774936
  1     6     1     6     1  2     2     1     1     5     0.57526092     0.40677090
  1     6     1     6     1  2     2     2     2     1    -0.00001548    -0.00000774
  1     6     1     6     1  2     2     2     1     5     0.00001082     0.00000541
  1     6     1     6     1  2     2     2     2     1     0.70392389     0.35196195
  1     6     1     6     1  2     2     2     2     2     0.55740364     0.27870182
  1     6     1     6     1  2     2     2     1     5     0.08163911     0.04081955
  1     6     1     6     1  2     1     5     2     1     0.00003188     0.00001302
  1     6     1     6     1  2     1     5     2     2     0.00002941     0.00001201
  1     6     1     6     1  2     1     5     1     5    -0.00001130    -0.00000461
  1     6     1     6     1  2     1     5     1     8     0.00023400     0.00009553
  1     6     1     6     1  2     1     5     2     1     0.57526092     0.23484929
  1     6     1     6     1  2     1     5     2     2    -0.08163911    -0.03332903
  1     6     1     6     1  2     1     5     1     5    -0.03810371    -0.01555577
  1     6     1     6     1  2     1     8     1     8     0.00006485     0.00002051
  1     6     1     6     1  2     1     8     1     8    -0.11618814    -0.03674191
  0     6     1     6     2  0     2     1     2     1     0.04593010     0.03247748
  0     6     1     6     2  0     2     2     2     2     0.02336495     0.01168248
  0     6     1     6     2  0     1     5     1     5    -0.26788369    -0.10936306
  0     6     1     6     2  0     1     8     1     8     0.17159224     0.05426223
  1     6     1     6     2  0     2     1     2     1     0.20801568     0.14708930
  1     6     1     6     2  0     2     2     2     2     0.15698719     0.07849360
  1     6     1     6     2  0     1     5     1     5    -0.04433547    -0.01809988
  1     6     1     6     2  0     1     8     1     8    -0.15783203    -0.04991087
  0     6     1     6     2  2     2     1     2     2    -0.35709496    -0.25250427
  0     6     1     6     2  2     2     1     1     5     0.39231639     0.27740958
  0     6     1     6     2  2     2     1     2     2    -0.00001466    -0.00001037
  0     6     1     6     2  2     2     1     1     5    -0.00003648    -0.00002580
  0     6     1     6     2  2     2     2     2     1     0.23900153     0.11950076
  0     6     1     6     2  2     2     2     2     2     0.09886716     0.04943358
  0     6     1     6     2  2     2     2     1     5     0.10952641     0.05476320
  0     6     1     6     2  2     2     2     1     5     0.00001879     0.00000939
  0     6     1     6     2  2     1     5     2     1     0.54765379     0.22357872
  0     6     1     6     2  2     1     5     2     2    -0.13813400    -0.05639297
  0     6     1     6     2  2     1     5     1     5     0.81463537     0.33257350
  0     6     1     6     2  2     1     5     1     5     0.00001380     0.00000563
  0     6     1     6     2  2     1     8     1     8     1.96968210     0.62286817
  0     6     1     6     2  2     1     8     1     5    -0.00003144    -0.00000994
  0     6     1     6     2  2     1     8     1     8    -0.00001705    -0.00000539
  1     6     1     6     2  2     2     1     2     2    -0.49343741    -0.34891294
  1     6     1     6     2  2     2     1     1     5     0.68257917     0.48265636
  1     6     1     6     2  2     2     2     2     1     0.00002299     0.00001150
  1     6     1     6     2  2     2     2     2     1     0.41369101     0.20684550
  1     6     1     6     2  2     2     2     2     2     0.60731166     0.30365583
  1     6     1     6     2  2     2     2     1     5     0.13424009     0.06712005
