  t   J_i   l_i   J_f   l_f   Lam  n1   lj1  n2  lj2   TD   TD/sqrt(2j_1+1)
  0     0     2     2     2  2     2     1     1     5     0.25959346     0.18356029
  0     0     2     2     2  2     2     2     2     1     0.15495280     0.07747640
  0     0     2     2     2  2     2     2     2     2     0.03029565     0.01514783
  0     0     2     2     2  2     2     2     1     5     0.03398798     0.01699399
  0     0     2     2     2  2     1     5     2     1     0.16840233     0.06874996
  0     0     2     2     2  2     1     5     2     2    -0.04403640    -0.01797778
  0     0     2     2     2  2     1     5     1     5     0.39867995     0.16276041
  0     0     2     2     2  2     1     8     1     8     1.08461528     0.34298547
  0     0     2     2     2  2     1     8     1     5    -0.00009877    -0.00003123
  0     0     2     2     2  2     1     8     1     8     0.00001022     0.00000323
  1     0     2     2     2  2     2     1     2     2    -0.21792589    -0.15409687
  1     0     2     2     2  2     2     1     1     5     0.16464144     0.11641908
  1     0     2     2     2  2     2     2     2     1     0.21549053     0.10774527
  1     0     2     2     2  2     2     2     2     2     0.37354877     0.18677438
  1     0     2     2     2  2     2     2     1     5     0.11117474     0.05558737
  1     0     2     2     2  2     1     5     1     8    -0.00005863    -0.00002394
  1     0     2     2     2  2     1     5     2     1     0.36630330     0.14954270
  1     0     2     2     2  2     1     5     2     2    -0.10183689    -0.04157473
  1     0     2     2     2  2     1     5     1     5     0.74159564     0.30275515
  1     0     2     2     2  2     1     8     1     8     0.13181589     0.04168384
  0     2     1     0     1  2     2     1     2     2     0.18392622     0.13005548
  0     2     1     0     1  2     2     1     1     5    -0.31221165    -0.22076698
  0     2     1     0     1  2     2     2     2     1    -0.26427438    -0.13213719
  0     2     1     0     1  2     2     2     2     2    -0.05234237    -0.02617118
  0     2     1     0     1  2     2     2     1     5    -0.05882694    -0.02941347
  0     2     1     0     1  2     1     5     2     1    -0.36169797    -0.14766258
  0     2     1     0     1  2     1     5     2     2     0.04699629     0.01918615
  0     2     1     0     1  2     1     5     1     5    -0.45621533    -0.18624913
  0     2     1     0     1  2     1     8     1     8    -1.34192424    -0.42435371
  0     2     1     0     1  2     1     8     1     5     0.00003426     0.00001083
  1     2     1     0     1  2     2     1     2     2     0.30135113     0.21308743
  1     2     1     0     1  2     2     1     1     5    -0.30011050    -0.21221017
  1     2     1     0     1  2     2     2     2     1    -0.36073437    -0.18036719
  1     2     1     0     1  2     2     2     2     2    -0.70640057    -0.35320029
  1     2     1     0     1  2     2     2     1     5    -0.25984656    -0.12992328
  1     2     1     0     1  2     1     5     2     1    -0.37196549    -0.15185427
  1     2     1     0     1  2     1     5     2     2     0.26578977     0.10850822
  1     2     1     0     1  2     1     5     1     5    -1.01435815    -0.41410998
  1     2     1     0     1  2     1     8     1     8    -0.09989283    -0.03158889
  0     2     1     0     2  2     2     1     2     2    -0.00513012    -0.00362754
  0     2     1     0     2  2     2     1     1     5    -0.09184505    -0.06494426
  0     2     1     0     2  2     2     2     2     1    -0.00130121    -0.00065061
  0     2     1     0     2  2     2     2     2     2    -0.02865268    -0.01432634
  0     2     1     0     2  2     2     2     1     5    -0.01685142    -0.00842571
  0     2     1     0     2  2     1     5     2     1    -0.09588176    -0.03914357
  0     2     1     0     2  2     1     5     2     2     0.02602770     0.01062576
  0     2     1     0     2  2     1     5     1     5     0.15580548     0.06360732
  0     2     1     0     2  2     1     8     1     8     0.03002420     0.00949449
  0     2     1     0     2  2     1     8     1     5     0.00006458     0.00002042
  1     2     1     0     2  2     2     1     2     2    -0.03470782    -0.02454214
  1     2     1     0     2  2     2     1     1     5     0.17661044     0.12488244
  1     2     1     0     2  2     2     2     2     1    -0.00214510    -0.00107255
  1     2     1     0     2  2     2     2     2     2     0.06888325     0.03444162
  1     2     1     0     2  2     2     2     1     5    -0.02732625    -0.01366312
  1     2     1     0     2  2     1     5     1     8     0.00014433     0.00005892
  1     2     1     0     2  2     1     5     2     1     0.10153121     0.04144994
  1     2     1     0     2  2     1     5     2     2    -0.02404984    -0.00981831
  1     2     1     0     2  2     1     5     1     5    -0.06938920    -0.02832802
  1     2     1     0     2  2     1     8     1     8    -0.08352362    -0.02641249
  0     2     1     2     1  0     2     1     2     1     2.25095636     1.59166650
  0     2     1     2     1  0     2     2     2     2     4.23440977     2.11720489
  0     2     1     2     1  0     1     5     1     5     4.61226669     1.88294999
  0     2     1     2     1  0     1     8     1     8     4.05583903     1.28256892
  1     2     1     2     1  0     2     1     2     1     0.55697412     0.39384018
  1     2     1     2     1  0     2     2     2     2     1.54289018     0.77144509
  1     2     1     2     1  0     1     5     1     5     1.86120284     0.75983288
  1     2     1     2     1  0     1     8     1     8     0.16201834     0.05123470
  0     2     1     2     1  2     2     1     2     2     0.03557112     0.02515258
  0     2     1     2     1  2     2     1     1     5    -0.23847121    -0.16862461
  0     2     1     2     1  2     2     2     2     1    -0.03557112    -0.01778556
  0     2     1     2     1  2     2     2     2     2    -0.08520443    -0.04260221
  0     2     1     2     1  2     2     2     1     5    -0.07043681    -0.03521841
  0     2     1     2     1  2     1     5     2     1    -0.23847121    -0.09735547
  0     2     1     2     1  2     1     5     2     2     0.07043681     0.02875571
  0     2     1     2     1  2     1     5     1     5     0.11362205     0.04638601
  0     2     1     2     1  2     1     8     1     8     0.28383574     0.08975674
  0     2     1     2     1  2     1     8     1     5    -0.00003200    -0.00001012
  1     2     1     2     1  2     2     1     2     2    -0.29427004    -0.20808034
  1     2     1     2     1  2     2     1     1     5     0.37317839     0.26387697
  1     2     1     2     1  2     2     2     2     1     0.29427004     0.14713502
  1     2     1     2     1  2     2     2     2     2     0.16402874     0.08201437
  1     2     1     2     1  2     2     2     1     5    -0.03998162    -0.01999081
  1     2     1     2     1  2     1     5     1     8    -0.00003200    -0.00001306
  1     2     1     2     1  2     1     5     2     1     0.37317839     0.15234944
  1     2     1     2     1  2     1     5     2     2     0.03998162     0.01632243
  1     2     1     2     1  2     1     5     1     5    -0.11106119    -0.04534054
  1     2     1     2     1  2     1     8     1     8    -0.07015945    -0.02218637
  0     2     1     2     2  0     2     1     2     1     0.01306447     0.00923797
  0     2     1     2     2  0     2     2     2     2    -0.00556090    -0.00278045
  0     2     1     2     2  0     1     5     1     5    -0.15335531    -0.06260704
  0     2     1     2     2  0     1     8     1     8     0.11608243     0.03670849
  1     2     1     2     2  0     2     1     2     1     0.05931303     0.04194065
  1     2     1     2     2  0     2     2     2     2     0.04547480     0.02273740
  1     2     1     2     2  0     1     5     1     5     0.03277743     0.01338133
  1     2     1     2     2  0     1     8     1     8    -0.08067977    -0.02551318
  0     2     1     2     2  2     2     1     2     2    -0.31206139    -0.22066072
