      epsi      cf   bet2n   bet2p   bet2t   gam2n   gam2p   gam2t    P_00     EP_NN     EP_PP     EP_NP      Etot    Radius
  0.000044  0.000 -0.116 -0.084 -0.200    0.013   -0.020   -0.001    0.000   -4.402   -3.537    -0.000   -66.073     4.507
  0.000010  0.000 -0.055 -0.045 -0.100    0.008   -0.005    0.002    0.000   -5.892   -4.645    -0.000   -65.252     4.495
  0.000010  0.000 -0.000  0.000 -0.000    0.922   -1.238   90.000    0.000   -6.265   -5.016    -0.000   -64.807     4.493
  0.000010  0.000  0.051  0.049  0.100   -0.047    0.045   -0.002    0.000   -5.949   -4.568    -0.000   -65.226     4.492
  0.000010  0.000  0.104  0.096  0.200   -0.000    0.002    0.001    0.000   -4.812   -2.910    -0.000   -66.064     4.485
  0.000034  0.000  0.162  0.138  0.300   -0.001    0.002    0.001    0.000   -1.414   -0.346    -0.000   -57.537     4.665
