0.000000
 0  4   0  0  -3.948      # 0d5/2
 0  3   0  0   1.647      # 0d3/2
 0  0   1  1  -3.164      # 1s1/2   
 0  6   0  0   2.663      # 0f7/2   
 0  5   0  0   7.622      # 0f5/2   
 0  2   1  1  -1.216      # 1p3/2   
 0  1   1  1  -0.497      # 1p1/2
 1  4   0  0  -3.948      # 0d5/2
 1  3   0  0   1.647      # 0d3/2
 1  0   1  1  -3.164      # 1s1/2      
 1  6   0  0   2.663      # 0f7/2      
 1  5   0  0   7.622      # 0f5/2
 1  2   1  1  -1.216      # 1p3/2            
 1  1   1  1  -0.497      # 1p1/2    
