    1    1    1    1    1    0   -1.265770
    1    1    1    1    3    0   -1.164250
    1    1    1    1    5    0   -3.277140
    1    1    1    2    1    0    1.972600
    1    1    1    2    3    0    1.722950
    1    1    1    3    3    0   -0.963230
    1    1    2    2    1    0    0.560020
    1    1    2    2    3    0    1.469580
    1    1    2    3    1    0    0.855120
    1    1    3    3    1    0   -0.911730
    1    1    4    4    1    0    0.756150
    1    1    4    4    3    0    0.395290
    1    1    4    4    5    0    0.598240
    1    1    4    5    1    0   -1.530780
    1    1    4    5    3    0   -0.603860
    1    1    4    5    5    0   -0.586300
    1    1    4    6    3    0    0.210700
    1    1    4    6    5    0    0.422770
    1    1    4    7    3    0   -0.344670
    1    1    5    5    1    0   -0.394490
    1    1    5    5    3    0    0.061400
    1    1    5    5    5    0    0.430420
    1    1    5    6    1    0    0.269110
    1    1    5    6    3    0    0.195410
    1    1    5    7    3    0    0.200920
    1    1    6    6    1    0    0.184660
    1    1    6    6    3    0    0.243100
    1    1    6    7    1    0   -0.266490
    1    1    7    7    1    0   -0.025480
    1    2    1    2    1    0   -5.588420
    1    2    1    2    2    0   -3.509570
    1    2    1    2    3    0   -0.959890
    1    2    1    2    4    0   -4.037640
    1    2    1    3    2    0   -0.075070
    1    2    1    3    3    0    0.933140
    1    2    2    2    1    0    0.437950
    1    2    2    2    3    0    1.577230
    1    2    2    3    1    0    1.324630
    1    2    2    3    2    0    0.219630
    1    2    3    3    1    0    1.631900
    1    2    4    4    1    0   -0.873620
    1    2    4    4    3    0   -0.268570
    1    2    4    5    1    0    2.450660
    1    2    4    5    2    0    1.602590
    1    2    4    5    3    0    0.668270
    1    2    4    5    4    0    1.416190
    1    2    4    6    2    0    0.217080
    1    2    4    6    3    0   -0.103630
    1    2    4    6    4    0   -0.146750
    1    2    4    7    3    0    0.110000
    1    2    4    7    4    0    0.234640
    1    2    5    5    1    0    0.240090
    1    2    5    5    3    0   -0.272460
    1    2    5    6    1    0   -0.944510
    1    2    5    6    2    0    0.201720
    1    2    5    6    3    0   -0.347160
    1    2    5    6    4    0    0.097550
    1    2    5    7    2    0   -0.176400
