      epsi      cf   bet2n   bet2p   bet2t   gam2n   gam2p   gam2t    P_00     EP_NN     EP_PP     EP_NP      Etot    Radius
  0.000005  0.000 -0.200 -0.100 -0.300   -0.001   -0.000   -0.001    0.000   -1.316   -0.000    -0.000   -18.206     4.135
  0.000004  0.000 -0.100 -0.100 -0.200    0.000    0.001    0.001    0.000   -1.823   -0.000    -0.000   -19.171     4.135
  0.000004  0.000 -0.050 -0.050 -0.100    0.001    0.001    0.001    0.000   -2.316   -1.954    -0.000   -19.008     4.135
  0.000005  0.000 -0.000  0.000  0.000   88.604   89.534   89.999    0.000   -2.669   -2.391    -0.000   -18.760     4.135
  0.000004  0.000  0.055  0.045  0.100   -0.000    0.005    0.002    0.000   -2.290   -2.068    -0.000   -19.028     4.135
  0.000004  0.000  0.117  0.083  0.200    0.000    0.001    0.000    0.000   -1.412   -1.473    -0.000   -19.556     4.135
  0.000006  0.000  0.179  0.121  0.300   -0.000    0.000    0.000    0.000   -0.558   -0.806    -0.000   -19.714     4.135
  0.000006  0.000  0.237  0.163  0.400    0.000   -0.000    0.000    0.000   -0.500   -0.000    -0.000   -18.883     4.135
